county_name;numb_of_citizens;urbanization_rate
powiat_nowomiejski;  44166;0,2560
powiat_hajnowski;  44146;0,5050
powiat_zambrowski;  44143;0,5035
powiat_strzelinski;  44052;0,3352
powiat_proszowicki;  43648;0,1423
powiat_namyslowski;  42707;0,3767
powiat_przysuski;  42417;0,1412
powiat_sztumski;  42250;0,3754
powiat_wieruszowski;  42237;0,2042
powiat_lidzbarski;  42039;0,6000
powiat_braniewski;  41954;0,5331
powiat_poddebicki;  41484;0,2600
powiat_sepolenski;  41392;0,4227
powiat_moniecki;  41254;0,3564
powiat_radziejowski;  41169;0,2423
Swinoujscie;  41115;1,0000
powiat_grudziadzki;  40364;0,1359
powiat_szydlowiecki;  40075;0,3015
powiat_pyrzycki;  40055;0,4230
powiat_pinczowski;  39838;0,3002
powiat_zurominski;  39586;0,2732
powiat_wschowski;  39256;0,4960
powiat_wlodawski;  39084;0,3408
powiat_kolnenski;  38995;0,3271
powiat_skierniewicki;  38198;0,0000
powiat_lobeski;  37638;0,5250
powiat_milicki;  37148;0,3283
powiat_miedzychodzki;  37080;0,4590
Sopot;  36849;1,0000
powiat_zwolenski;  36693;0,2195
powiat_nowodworski_pomorskie;  36018;0,3149
powiat_suwalski;  35929;0,0000
powiat_gorowski;  35715;0,4224
powiat_parczewski;  35441;0,2812
powiat_sulecinski;  35409;0,4045
powiat_lipski;  34843;0,1642
powiat_wabrzeski;  34752;0,3983
powiat_olecki;  34609;0,6845
powiat_kazimierski;  34273;0,1977
powiat_bialobrzeski;  33523;0,2427
powiat_nidzicki;  33432;0,4356
powiat_losicki;  31544;0,2185
powiat_brzezinski;  30912;0,4023
powiat_goldapski;  27151;0,5034
powiat_leski;  26691;0,2202
powiat_wegorzewski;  23278;0,4924
powiat_bieszczadzki;  21990;0,4291
powiat_sejnenski;  20417;0,2699
